year,month,date,latest,core,core_ex_shelter,core_services,cpiu,energy,food,shelter,core_1m,core_3m,core_6m,core_12m,core_ex_shelter_1m,core_ex_shelter_3m,core_ex_shelter_6m,core_ex_shelter_12m,core_services_1m,core_services_3m,core_services_6m,core_services_12m,cpiu_1m,cpiu_3m,cpiu_6m,cpiu_12m,energy_1m,energy_3m,energy_6m,energy_12m,food_1m,food_3m,food_6m,food_12m,shelter_1m,shelter_3m,shelter_6m,shelter_12m
2022,Jan,2022-01-01,0,286.799,255.504,361.843,282.542,269.67,290.144,342.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Feb,2022-02-01,0,288.256,256.765,363.706,284.525,275.672,292.978,344.727,6.269509813727381,,,,6.0858467258253945,,,,6.356364054205055,,,,8.754942670229692,,,,30.232765520512594,,,,12.371710395666401,,,,6.53222663088473,,,
2022,Mar,2022-03-01,0,289.044,257.05,365.637,287.467,300.345,295.713,346.465,3.330191501767543,,,,1.3401187352892308,,,,6.560452570004305,,,,13.138593740293736,,,,179.7261012168332,,,,11.795645162263657,,,,6.220618082699292,,,
2022,Apr,2022-04-01,0,290.474,258.287,368.256,288.582,296.071,298.363,348.242,6.10104928915407,5.224902052308145,,,5.930074414561037,4.428581238767437,,,8.942248585829882,7.279965305717062,,,4.755035106299865,8.829064414338927,,,-15.801264430451,45.295760222675476,,,11.299849447555088,11.821544082640312,,,6.331357196093124,6.361322459221674,,
2022,May,2022-05-01,0,292.039,259.625,370.357,291.299,309.418,301.684,350.221,6.660360898268447,5.353747252772112,,,6.396548260128121,4.530431130668888,,,7.0652934981549675,7.51779958428811,,,11.901796183060709,9.868766045229837,,,69.74478828018849,58.712696489925676,,,14.205691876631455,12.426598426711832,,,7.036629400175465,6.528922749373067,,
2022,Jun,2022-06-01,0,294.009,261.399,373.127,295.072,332.281,304.845,352.544,8.40199310845129,7.049998370475219,,,8.51479326794584,6.941249598403831,,,9.353685837336979,8.449151267090782,,,16.69925383508277,11.009466254960444,,,135.24435464984177,49.80986392965914,,,13.323918244339428,12.9365810316304,,,8.256436687041058,7.205196353676091,,
2022,Jul,2022-07-01,0,295.08,261.935,374.869,294.94,314.944,308.083,354.619,4.459946285923766,6.495201132842232,5.858146159113264,,2.488546922065371,5.770349794550023,5.097324257913538,,5.748500066950579,7.3788589283539485,7.329400726927049,,-0.5354993039040856,9.108289635927513,8.96858758801411,,-47.430485935795154,28.041240733673934,36.39592886979344,,13.517783076871659,13.681835599389824,12.747853154162714,,7.296134578436586,7.528455969829273,6.943297026738593,
2022,Aug,2022-08-01,0,296.582,262.906,377.014,295.162,298.772,310.739,357.113,6.282112198906042,6.36916436261199,5.860238322739519,,4.540259495832677,5.151616212040611,4.840563603651216,,7.086666206110381,7.386003553919229,7.451881362161039,,0.9069831868085299,5.410968305313757,7.6167877951096585,,-46.87748065418712,-13.068478933427997,17.461211122848642,,10.850166503448122,12.557371928030836,12.491966174117387,,8.77370260453796,8.107022341076654,7.315071782286475,
2022,Sep,2022-09-01,0,298.281,264.164,379.77,296.421,294.581,312.835,359.631,7.095102474277004,5.939973971610657,6.4935399027992835,,5.895526457708167,4.298686980735256,5.611703504832266,,9.133510247012055,7.313883860675352,7.880024211460945,,5.240349960822943,1.841285103689061,6.326603924322627,,-15.593079878857841,-38.22725603834378,-3.801422217075412,,8.401393871376506,10.903445580042415,11.91539647625557,,8.797151787278757,8.286713105196796,7.744597734349612,
2022,Oct,2022-10-01,0,299.381,264.434,381.675,297.979,299.791,315.023,362.298,4.516228908692943,5.9589972408216285,6.2267608608846725,,1.233429188662316,3.8711752167007507,4.816461189268506,,6.1883117502454565,7.462452140044662,7.420647402819336,,6.492809165424185,4.185655801764843,6.618566437220519,,23.414532975353918,-17.900406445401785,2.528697555665338,,8.72342479976318,9.3196200373437,11.47939304137362,,9.27121992433344,8.947117239944946,8.235462299448116,
